# CORPUS CÂU MIX — sinh bằng scripts/voice/gen-mix.py (đừng sửa tay: sửa CLAUSES trong script).
# Cột: ids(phẩy, đúng thứ tự) | text
drl,readl,win_rr	bật đèn ban ngày rồi bật đèn trần sau đó mở kính sau phải
ac_auto,sunroof,pm25	bật điều hoà mở cửa sổ trời tắt lọc bụi
trunk,sunroof,defrost	đóng cốp sau đó đóng cửa sổ trời, bật sấy kính trước
recirc,ac_auto,sunroof	chuyển gió ngoài sau đó tắt máy lạnh mở cửa sổ trời
win_rr,readl,temp	mở kính sau phải xong bật đèn trần chỉnh nhiệt độ 22 độ
drl,headl,sunroof	bật đèn ban ngày rồi tắt đèn pha mở nóc xe
headl,defrost_rear,temp	tắt đèn pha và bật sấy kính sau xong chỉnh nhiệt độ 22 độ
sunroof,headl,win_rf	mở nóc xe và tắt đèn pha xong hạ kính phụ
win_lf,win_rf,win_rr	mở kính bên lái và hạ kính phụ sau đó mở kính sau phải
headl,windows_all,temp	bật đèn pha mở tất cả kính chỉnh nhiệt độ 22 độ
pm25,windows_all,recirc	bật lọc không khí hạ hết kính rồi chuyển gió ngoài
ac_auto,pm25,readl	bật điều hoà rồi bật lọc không khí, bật đèn đọc
cam,win_lr,sunroof	mở camera và mở kính sau trái và mở nóc xe
ac_auto,fan,win_rf	tắt máy nạnh giảm gió, mở kính trước phải
win_rf,ac_auto,defrost	hạ kiếng phải xong tắt máy nạnh và bật sấy kính
win_rf,defrost,sunroof	hạ kính phụ và bật sấy kính trước và mở cửa sổ trời
fan,recirc,defrost_rear	giảm gió xong lấy gió trong và bật sấy kính sau
trunk,sunroof,defrost_rear	đóng cốp đóng cửa sổ trời bật sấy kính sau
temp,headl,cam	đặt nhiệt độ 24 độ tắt đèn pha và bật camera 360
drl,fan,cam	bật đèn ban ngày và giảm gió xong mở camera
sunroof,headl,defrost	mở nóc xe rồi bật đèn pha sau đó tắt sấy kính
win_lf,win_rf,defrost	hạ kính trước trái và hạ kiếng phải tắt sấy kính
win_lr,drl,win_rr	mở kính sau trái bật đèn ban ngày xong mở kính sau phải
ac_auto,win_rr,sunroof	bật máy lạnh rồi mở kính sau phải rồi đóng cửa sổ trời
defrost_rear,trunk,ac_auto	bật sấy kính sau rồi mở cốp sau xong tắt máy nạnh
defrost,windows_all,recirc	tắt sấy kính rồi hạ hết kính lấy gió ngoài
headl,win_lf,readl	tắt đèn pha, hạ kiếng trái xong bật đèn đọc
pm25,windows_all,drl	bật lọc bụi, hạ hết kính bật đèn ban ngày
defrost,win_rf,sunroof	tắt sấy kính xong mở kính trước phải xong mở nóc xe
sunroof,pm25,win_lr	mở nóc xe, bật lọc không khí mở kính sau trái
readl,defrost,win_rr	tắt đèn đọc và bật sấy kính trước mở kính sau phải
headl,win_lr,win_rr	tắt đèn pha rồi mở kính sau trái xong mở kính sau phải
windows_all,temp,pm25	hạ hết kính, đặt nhiệt độ 24 độ, tắt lọc bụi
win_rf,win_half_lf,temp	mở kính trước phải và mở nửa kính lái xong đặt nhiệt độ 24 độ
defrost_rear,win_half_lf,headl	bật sấy kính sau và mở nửa kính lái sau đó bật đèn pha
win_half_lf,drl,win_lf	mở nửa kính lái sau đó bật đèn ban ngày, hạ kính lái
pm25,cam,trunk	bật lọc bụi mở camera, mở cốp sau
win_rr,sunroof,drl	mở kính sau phải sau đó mở cửa sổ trời và bật đèn ban ngày
drl,defrost_rear,pm25	bật đèn ban ngày bật sấy kính sau rồi bật lọc không khí
temp,win_half_lf,recirc	chỉnh nhiệt độ 22 độ rồi mở nửa kính lái lấy gió ngoài
defrost,recirc,win_lr	bật sấy kính trước rồi chuyển gió ngoài sau đó mở kính sau trái
recirc,win_half_lf,pm25	lấy gió ngoài sau đó mở nửa kính lái bật lọc không khí
win_lf,win_lr,trunk	mở kính trước trái sau đó mở kính sau trái sau đó mở cốp
drl,pm25,trunk	bật đèn ban ngày và bật lọc không khí và mở cốp sau
defrost,win_rr,win_rf	bật sấy kính trước và mở kính sau phải rồi hạ kiếng phải
win_lf,temp,win_rr	hạ kính trước trái và đặt nhiệt độ 24 độ sau đó mở kính sau phải
fan,win_half_lf,win_lr	giảm gió sau đó mở nửa kính lái mở kính sau trái
win_rr,headl,pm25	mở kính sau phải và bật đèn pha xong tắt lọc bụi
win_lf,recirc,pm25	mở kính bên lái xong lấy gió trong rồi bật lọc không khí
ac_auto,cam,windows_all	tắt điều hoà bật camera 360 xong đóng hết kính
win_half_lf,drl,sunroof	mở nửa kính lái rồi bật đèn ban ngày sau đó mở cửa sổ trời
win_rf,recirc,win_lr	hạ kính phụ rồi lấy gió trong sau đó mở kính sau trái
recirc,win_lf,readl	lấy gió ngoài hạ kính trước trái tắt đèn đọc
win_half_lf,windows_all,recirc	mở nửa kính lái, mở tất cả kính xong chuyển gió ngoài
temp,win_lr,win_rf	chỉnh nhiệt độ 22 độ xong mở kính sau trái xong hạ kính phụ
readl,fan,drl	bật đèn trần rồi tăng gió, bật đèn ban ngày
sunroof,win_lr,readl	mở cửa sổ trời, mở kính sau trái sau đó tắt đèn đọc
readl,win_rf,win_half_lf	bật đèn đọc mở kính trước phải rồi mở nửa kính lái
win_rf,sunroof,readl	mở kính trước phải, mở nóc xe xong bật đèn đọc
win_half_lf,cam,pm25	mở nửa kính lái bật camera 360 rồi tắt lọc bụi
win_rr,win_half_lf,ac_auto	mở kính sau phải, mở nửa kính lái và tắt máy nạnh
win_rr,headl,sunroof	mở kính sau phải, bật đèn pha xong mở cửa sổ trời
win_lr,headl,win_half_lf	mở kính sau trái rồi tắt đèn pha xong mở nửa kính lái
win_lf,drl,recirc	hạ kính lái sau đó bật đèn ban ngày sau đó chuyển gió ngoài
temp,recirc,win_rr	đặt nhiệt độ 24 độ chuyển gió ngoài, mở kính sau phải
win_lr,drl,headl	mở kính sau trái xong bật đèn ban ngày bật đèn pha
win_rr,win_lr,trunk	mở kính sau phải sau đó mở kính sau trái và đóng cốp
windows_all,fan,defrost_rear	đóng hết kính tăng gió bật sấy kính sau
win_rr,recirc,headl	mở kính sau phải, lấy gió trong, tắt đèn pha
recirc,win_lr,win_lf	lấy gió ngoài sau đó mở kính sau trái rồi mở kính trước trái
win_rf,ac_auto,defrost	hạ kính phụ bật điều hoà và bật sấy kính trước
defrost,trunk,win_lf	tắt sấy kính đóng cốp rồi hạ kính lái
ac_auto,fan,defrost_rear	bật điều hoà rồi tăng gió, bật sấy kính sau
win_lf,defrost_rear,readl	mở kính bên lái bật sấy kính sau sau đó tắt đèn đọc
readl,defrost_rear,win_lr	bật đèn trần bật sấy kính sau sau đó mở kính sau trái
defrost_rear,cam,win_half_lf	bật sấy kính sau rồi bật camera 360 mở nửa kính lái
recirc,headl,win_rf	chuyển gió ngoài, bật đèn pha xong hạ kính phụ
win_lr,recirc,drl	mở kính sau trái rồi lấy gió ngoài xong bật đèn ban ngày
win_rr,ac_auto,temp	mở kính sau phải bật điều hoà và chỉnh nhiệt độ 22 độ
pm25,win_lf,win_lr	bật lọc không khí, mở kính trước trái xong mở kính sau trái
win_half_lf,windows_all,win_lr	mở nửa kính lái và hạ hết kính mở kính sau trái
win_lr,win_half_lf,win_lf	mở kính sau trái mở nửa kính lái, hạ kính lái
win_rr,fan,headl	mở kính sau phải giảm gió và bật đèn pha
defrost,sunroof,cam	bật sấy kính trước rồi mở nóc xe xong bật camera 360
win_rr,temp,defrost_rear	mở kính sau phải rồi đặt nhiệt độ 24 độ sau đó bật sấy kính sau
readl,win_rr,recirc	tắt đèn đọc, mở kính sau phải lấy gió trong
recirc,win_lr,drl	lấy gió ngoài mở kính sau trái bật đèn ban ngày
windows_all,fan,win_rr	đóng hết kính xong giảm gió mở kính sau phải
win_half_lf,readl,win_rf	mở nửa kính lái và tắt đèn đọc sau đó mở kính trước phải
windows_all,trunk,drl	hạ hết kính mở cốp sau và bật đèn ban ngày
pm25,trunk,drl	bật lọc bụi sau đó mở cốp sau bật đèn ban ngày
ac_auto,defrost,sunroof	tắt máy lạnh bật sấy kính mở nóc xe
sunroof,trunk,readl	mở nóc xe sau đó đóng cốp tắt đèn đọc
win_rf,win_rr,sunroof	hạ kính phụ mở kính sau phải rồi đóng cửa sổ trời
temp,fan,win_rr	đặt nhiệt độ 24 độ giảm gió rồi mở kính sau phải
win_rr,fan,drl	mở kính sau phải rồi tăng gió bật đèn ban ngày
win_rr,recirc,win_lr	mở kính sau phải rồi lấy gió trong mở kính sau trái
defrost_rear,drl,win_rf	bật sấy kính sau xong bật đèn ban ngày hạ kính phụ
win_half_lf,sunroof,win_rr	mở nửa kính lái đóng cửa sổ trời, mở kính sau phải
ac_auto,headl,defrost_rear	tắt điều hoà rồi bật đèn pha và bật sấy kính sau
temp,win_half_lf,windows_all	đặt nhiệt độ 24 độ và mở nửa kính lái hạ hết kính
recirc,pm25,trunk	lấy gió ngoài rồi bật lọc bụi rồi mở cốp sau
pm25,ac_auto,headl	bật lọc bụi xong tắt máy nạnh rồi bật đèn pha
win_rf,drl,readl	hạ kính phụ và bật đèn ban ngày bật đèn trần
sunroof,defrost_rear,win_rf	đóng cửa sổ trời bật sấy kính sau hạ kiếng phải
temp,win_lr,win_half_lf	đặt nhiệt độ 24 độ rồi mở kính sau trái mở nửa kính lái
recirc,defrost,defrost_rear	chuyển gió ngoài rồi bật sấy kính bật sấy kính sau
ac_auto,win_lf,trunk	bật máy lạnh rồi mở kính trước trái và mở cốp
headl,fan,recirc	bật đèn pha tăng gió và lấy gió trong
temp,pm25,readl	chỉnh nhiệt độ 22 độ bật lọc bụi và tắt đèn đọc
cam,win_lf,trunk	bật camera 360 mở kính trước trái, mở cốp
pm25,temp,fan	bật lọc không khí và chỉnh nhiệt độ 22 độ tăng gió
drl,win_rr,pm25	bật đèn ban ngày, mở kính sau phải bật lọc bụi
win_half_lf,defrost_rear,win_rf	mở nửa kính lái bật sấy kính sau hạ kính phụ
win_half_lf,temp,cam	mở nửa kính lái xong đặt nhiệt độ 24 độ và bật camera 360
cam,win_rr,win_rf	mở camera và mở kính sau phải mở kính trước phải
defrost,ac_auto,windows_all	tắt sấy kính rồi tắt máy lạnh sau đó hạ hết kính
defrost,headl,win_rr	tắt sấy kính xong bật đèn pha, mở kính sau phải
win_half_lf,trunk,headl	mở nửa kính lái, đóng cốp và bật đèn pha
win_half_lf,sunroof,ac_auto	mở nửa kính lái rồi mở nóc xe và tắt điều hoà
headl,pm25,win_lr	bật đèn pha bật lọc không khí xong mở kính sau trái
defrost_rear,win_lf,temp	bật sấy kính sau rồi hạ kính trước trái và đặt nhiệt độ 24 độ
readl,cam,win_lr	bật đèn đọc mở camera xong mở kính sau trái
readl,trunk,drl	tắt đèn đọc sau đó mở cốp sau và bật đèn ban ngày
windows_all,readl,recirc	mở tất cả kính, bật đèn đọc lấy gió ngoài
sunroof,cam,win_lr	đóng cửa sổ trời, mở camera, mở kính sau trái
trunk,win_half_lf,cam	đóng cốp xong mở nửa kính lái mở camera
ac_auto,sunroof,trunk	tắt máy lạnh sau đó mở nóc xe, đóng cốp
recirc,readl,win_half_lf	lấy gió trong tắt đèn đọc sau đó mở nửa kính lái
win_lr,temp,win_rf	mở kính sau trái, đặt nhiệt độ 24 độ rồi hạ kiếng phải
drl,pm25,win_lf	bật đèn ban ngày bật lọc bụi xong mở kính trước trái
readl,win_lf,ac_auto	bật đèn đọc xong mở kính trước trái sau đó bật điều hoà
readl,win_lf,drl	bật đèn đọc hạ kính lái bật đèn ban ngày
fan,defrost_rear,win_lr	giảm gió rồi bật sấy kính sau xong mở kính sau trái
fan,pm25,defrost_rear	tăng gió bật lọc bụi và bật sấy kính sau
win_lr,win_half_lf,win_rf	mở kính sau trái và mở nửa kính lái và hạ kiếng phải
headl,fan,windows_all	bật đèn pha sau đó tăng gió xong đóng hết kính
cam,sunroof,defrost	bật camera 360 sau đó mở cửa sổ trời tắt sấy kính
fan,win_rr,win_lr	tăng gió sau đó mở kính sau phải rồi mở kính sau trái
readl,win_lr,fan	bật đèn trần mở kính sau trái tăng gió
win_half_lf,recirc,win_rr	mở nửa kính lái, lấy gió ngoài rồi mở kính sau phải
headl,drl,defrost_rear	bật đèn pha xong bật đèn ban ngày bật sấy kính sau
readl,headl,defrost	bật đèn đọc tắt đèn pha bật sấy kính trước
recirc,defrost,pm25	lấy gió ngoài bật sấy kính rồi bật lọc bụi
defrost_rear,defrost,sunroof	bật sấy kính sau và bật sấy kính trước mở nóc xe
defrost_rear,win_lr,defrost	bật sấy kính sau mở kính sau trái bật sấy kính trước
ac_auto,readl,temp	tắt máy lạnh bật đèn đọc sau đó chỉnh nhiệt độ 22 độ
headl,win_half_lf,trunk	tắt đèn pha mở nửa kính lái xong mở cốp
win_lr,sunroof,cam	mở kính sau trái sau đó mở cửa sổ trời xong mở camera
headl,readl,temp	tắt đèn pha sau đó tắt đèn đọc xong chỉnh nhiệt độ 22 độ
trunk,drl,temp	mở cốp sau bật đèn ban ngày sau đó đặt nhiệt độ 24 độ
temp,win_lr,pm25	đặt nhiệt độ 24 độ mở kính sau trái bật lọc không khí
temp,win_rf,defrost	đặt nhiệt độ 24 độ rồi hạ kiếng phải, tắt sấy kính
win_lr,windows_all,sunroof	mở kính sau trái hạ hết kính mở nóc xe
defrost,windows_all,headl	bật sấy kính và hạ hết kính bật đèn pha
drl,cam,ac_auto	bật đèn ban ngày sau đó bật camera 360 sau đó bật máy lạnh
cam,defrost_rear,trunk	bật camera 360, bật sấy kính sau đóng cốp
win_lr,pm25,sunroof	mở kính sau trái, bật lọc bụi sau đó mở cửa sổ trời
defrost,temp,sunroof	bật sấy kính trước sau đó đặt nhiệt độ 24 độ mở nóc xe
recirc,fan,win_rr	chuyển gió ngoài giảm gió và mở kính sau phải
headl,fan,windows_all	tắt đèn pha xong giảm gió xong đóng hết kính
defrost_rear,recirc,cam	bật sấy kính sau, lấy gió ngoài và bật camera 360
win_lf,pm25,win_rf	hạ kính lái sau đó tắt lọc bụi và mở kính trước phải
pm25,trunk,defrost	tắt lọc bụi rồi mở cốp sau rồi tắt sấy kính
defrost,win_rr,readl	bật sấy kính sau đó mở kính sau phải, bật đèn trần
readl,win_rf,ac_auto	bật đèn đọc, hạ kính phụ xong bật điều hoà
defrost_rear,sunroof,cam	bật sấy kính sau, mở cửa sổ trời xong bật camera 360
defrost_rear,win_rf,trunk	bật sấy kính sau sau đó hạ kính phụ xong mở cốp
drl,win_rf,temp	bật đèn ban ngày sau đó hạ kính phụ xong chỉnh nhiệt độ 22 độ
recirc,defrost_rear,trunk	lấy gió ngoài bật sấy kính sau và mở cốp
win_lf,win_half_lf,readl	hạ kính trước trái mở nửa kính lái rồi bật đèn trần
win_rf,recirc,temp	hạ kiếng phải sau đó lấy gió trong rồi chỉnh nhiệt độ 22 độ
sunroof,defrost,fan	đóng cửa sổ trời xong tắt sấy kính sau đó giảm gió
trunk,win_rr,headl	mở cốp rồi mở kính sau phải tắt đèn pha
readl,recirc,drl	tắt đèn đọc xong chuyển gió ngoài xong bật đèn ban ngày
win_rr,win_rf,temp	mở kính sau phải rồi mở kính trước phải đặt nhiệt độ 24 độ
ac_auto,headl,defrost	tắt máy nạnh tắt đèn pha sau đó bật sấy kính
win_rf,readl,trunk	hạ kiếng phải rồi tắt đèn đọc xong mở cốp
win_lr,cam,recirc	mở kính sau trái, mở camera xong lấy gió trong
ac_auto,fan,headl	tắt máy lạnh sau đó tăng gió, tắt đèn pha
ac_auto,win_half_lf,win_lf	tắt máy nạnh và mở nửa kính lái mở kính bên lái
win_rf,recirc,headl	mở kính trước phải, chuyển gió ngoài rồi bật đèn pha
windows_all,drl,recirc	đóng hết kính rồi bật đèn ban ngày sau đó chuyển gió ngoài
win_lf,cam,windows_all	mở kính bên lái và mở camera hạ hết kính
cam,recirc,headl	mở camera sau đó lấy gió ngoài bật đèn pha
defrost_rear,ac_auto,readl	bật sấy kính sau sau đó tắt điều hoà bật đèn trần
readl,ac_auto,recirc	bật đèn trần rồi tắt máy lạnh xong chuyển gió ngoài
recirc,pm25,cam	chuyển gió ngoài bật lọc bụi rồi mở camera
win_lr,win_half_lf,cam	mở kính sau trái mở nửa kính lái xong mở camera
recirc,drl,defrost_rear	lấy gió trong bật đèn ban ngày bật sấy kính sau
cam,trunk,win_half_lf	mở camera xong đóng cốp mở nửa kính lái
temp,win_lr,windows_all	đặt nhiệt độ 24 độ, mở kính sau trái và đóng hết kính
ac_auto,cam,fan	bật máy lạnh và mở camera rồi giảm gió
headl,recirc,fan	bật đèn pha chuyển gió ngoài tăng gió
trunk,sunroof,win_lr	đóng cốp xong mở cửa sổ trời rồi mở kính sau trái
defrost_rear,trunk,sunroof	bật sấy kính sau, đóng cốp mở nóc xe
win_rf,fan,trunk	hạ kiếng phải, giảm gió và đóng cốp
ac_auto,drl,win_lf	tắt điều hoà sau đó bật đèn ban ngày và hạ kiếng trái
win_half_lf,readl,defrost_rear	mở nửa kính lái xong bật đèn trần bật sấy kính sau
defrost,win_rr,windows_all	bật sấy kính rồi mở kính sau phải rồi mở tất cả kính
pm25,trunk,headl	bật lọc bụi xong đóng cốp rồi tắt đèn pha
win_rr,defrost_rear,pm25	mở kính sau phải và bật sấy kính sau sau đó bật lọc bụi
sunroof,win_lr,trunk	mở nóc xe và mở kính sau trái và đóng cốp
fan,ac_auto,sunroof	tăng gió tắt máy lạnh mở cửa sổ trời
windows_all,win_half_lf,defrost	đóng hết kính rồi mở nửa kính lái và bật sấy kính
win_rr,win_half_lf,windows_all	mở kính sau phải sau đó mở nửa kính lái mở tất cả kính
win_rf,fan,sunroof	hạ kính phụ sau đó tăng gió xong mở nóc xe
ac_auto,windows_all,defrost	tắt máy lạnh đóng hết kính bật sấy kính
win_rf,win_lf,defrost_rear	hạ kiếng phải rồi mở kính trước trái bật sấy kính sau
win_rr,ac_auto,recirc	mở kính sau phải tắt điều hoà sau đó lấy gió trong
cam,defrost_rear,sunroof	mở camera bật sấy kính sau rồi đóng cửa sổ trời
win_lf,ac_auto,drl	mở kính trước trái xong tắt điều hoà xong bật đèn ban ngày
win_rf,temp,headl	hạ kiếng phải, đặt nhiệt độ 24 độ sau đó tắt đèn pha
win_half_lf,win_lf,temp	mở nửa kính lái xong hạ kính lái rồi chỉnh nhiệt độ 22 độ
headl,windows_all,win_rf	bật đèn pha xong mở tất cả kính rồi mở kính trước phải
ac_auto,win_lf,headl	tắt máy nạnh rồi hạ kính lái xong tắt đèn pha
recirc,sunroof,cam	lấy gió trong và đóng cửa sổ trời rồi bật camera 360
recirc,pm25,win_half_lf	chuyển gió ngoài, bật lọc không khí xong mở nửa kính lái
defrost_rear,win_half_lf,pm25	bật sấy kính sau sau đó mở nửa kính lái, bật lọc không khí
fan,pm25,win_lr	giảm gió rồi bật lọc bụi sau đó mở kính sau trái
win_lr,cam,defrost	mở kính sau trái, bật camera 360 sau đó bật sấy kính
windows_all,win_rr,sunroof	mở tất cả kính sau đó mở kính sau phải rồi mở nóc xe
temp,pm25,win_lr	chỉnh nhiệt độ 22 độ bật lọc không khí mở kính sau trái
fan,defrost,recirc	tăng gió và bật sấy kính trước sau đó lấy gió trong
trunk,recirc,headl	mở cốp sau sau đó chuyển gió ngoài, tắt đèn pha
pm25,temp,defrost_rear	tắt lọc bụi chỉnh nhiệt độ 22 độ xong bật sấy kính sau
windows_all,defrost,win_rf	hạ hết kính xong bật sấy kính trước hạ kiếng phải
trunk,sunroof,readl	đóng cốp rồi mở nóc xe rồi bật đèn đọc
win_lf,win_lr,drl	hạ kính lái, mở kính sau trái rồi bật đèn ban ngày
win_lr,defrost,defrost_rear	mở kính sau trái xong bật sấy kính bật sấy kính sau
headl,pm25,defrost_rear	bật đèn pha rồi bật lọc bụi sau đó bật sấy kính sau
readl,pm25,drl	bật đèn đọc, bật lọc bụi và bật đèn ban ngày
win_lr,sunroof,temp	mở kính sau trái rồi mở cửa sổ trời sau đó chỉnh nhiệt độ 22 độ
defrost_rear,win_rf,sunroof	bật sấy kính sau rồi hạ kiếng phải sau đó đóng cửa sổ trời
headl,recirc,pm25	bật đèn pha chuyển gió ngoài, bật lọc không khí
defrost_rear,sunroof,ac_auto	bật sấy kính sau rồi đóng cửa sổ trời và bật máy lạnh
win_half_lf,trunk,win_rr	mở nửa kính lái mở cốp sau và mở kính sau phải
win_rr,trunk,sunroof	mở kính sau phải, mở cốp và đóng cửa sổ trời
defrost_rear,sunroof,ac_auto	bật sấy kính sau mở cửa sổ trời rồi bật điều hoà
win_rr,defrost,temp	mở kính sau phải rồi bật sấy kính trước xong chỉnh nhiệt độ 22 độ
recirc,drl,ac_auto	lấy gió trong bật đèn ban ngày và tắt máy nạnh
defrost,readl,win_lr	tắt sấy kính, bật đèn đọc mở kính sau trái
recirc,headl,drl	chuyển gió ngoài xong bật đèn pha bật đèn ban ngày
defrost,win_rr,recirc	bật sấy kính trước mở kính sau phải rồi lấy gió trong
win_lr,pm25,defrost_rear	mở kính sau trái và bật lọc không khí xong bật sấy kính sau
win_half_lf,drl,ac_auto	mở nửa kính lái sau đó bật đèn ban ngày tắt điều hoà
win_rr,recirc,win_half_lf	mở kính sau phải xong chuyển gió ngoài rồi mở nửa kính lái
sunroof,win_lf,win_lr	mở nóc xe sau đó hạ kiếng trái xong mở kính sau trái
pm25,headl,windows_all	tắt lọc bụi tắt đèn pha hạ hết kính
win_rf,cam,sunroof	mở kính trước phải và mở camera, mở nóc xe
windows_all,trunk,drl	mở tất cả kính mở cốp sau bật đèn ban ngày
windows_all,win_half_lf,win_rr	hạ hết kính và mở nửa kính lái, mở kính sau phải
win_half_lf,win_rr,fan	mở nửa kính lái xong mở kính sau phải tăng gió
readl,cam,windows_all	bật đèn đọc sau đó bật camera 360 và đóng hết kính
readl,win_lr,fan	bật đèn trần và mở kính sau trái rồi giảm gió
win_rf,readl,win_half_lf	hạ kính phụ bật đèn trần, mở nửa kính lái
ac_auto,recirc,win_lr	bật điều hoà sau đó lấy gió ngoài mở kính sau trái
defrost_rear,win_lr,cam	bật sấy kính sau mở kính sau trái xong mở camera
windows_all,ac_auto,defrost	mở tất cả kính xong bật điều hoà, bật sấy kính
cam,ac_auto,win_rf	mở camera xong tắt máy lạnh xong hạ kiếng phải
ac_auto,win_rf,defrost	tắt máy nạnh mở kính trước phải tắt sấy kính
headl,recirc,win_half_lf	tắt đèn pha xong lấy gió ngoài mở nửa kính lái
cam,pm25,temp	bật camera 360 bật lọc bụi xong chỉnh nhiệt độ 22 độ
readl,sunroof,win_rr	bật đèn đọc, đóng cửa sổ trời xong mở kính sau phải
defrost,trunk,defrost_rear	bật sấy kính đóng cốp bật sấy kính sau
sunroof,cam,drl	mở cửa sổ trời bật camera 360 bật đèn ban ngày
drl,recirc,pm25	bật đèn ban ngày xong lấy gió trong rồi bật lọc không khí
pm25,recirc,win_rr	bật lọc không khí và lấy gió trong mở kính sau phải
win_half_lf,fan,windows_all	mở nửa kính lái rồi tăng gió mở tất cả kính
win_lf,ac_auto,win_rf	hạ kính lái tắt máy lạnh hạ kính phụ
readl,pm25,trunk	bật đèn đọc rồi bật lọc không khí xong đóng cốp
pm25,ac_auto,temp	tắt lọc bụi tắt điều hoà đặt nhiệt độ 24 độ
drl,cam,readl	bật đèn ban ngày mở camera bật đèn trần
sunroof,win_lr,readl	mở cửa sổ trời sau đó mở kính sau trái và bật đèn đọc
win_lr,defrost,defrost_rear	mở kính sau trái và bật sấy kính trước, bật sấy kính sau
recirc,fan,defrost_rear	lấy gió ngoài, giảm gió, bật sấy kính sau
win_half_lf,readl,pm25	mở nửa kính lái rồi bật đèn trần rồi bật lọc bụi
ac_auto,win_rf,defrost	bật điều hoà xong mở kính trước phải rồi bật sấy kính trước
trunk,headl,fan	mở cốp và tắt đèn pha rồi giảm gió
win_rf,pm25,fan	hạ kính phụ xong bật lọc không khí rồi tăng gió
trunk,defrost,temp	đóng cốp xong bật sấy kính xong chỉnh nhiệt độ 22 độ
recirc,readl,cam	chuyển gió ngoài xong bật đèn trần và mở camera
win_lf,pm25,win_rf	hạ kính trước trái tắt lọc bụi rồi hạ kính phụ
headl,defrost,readl	tắt đèn pha tắt sấy kính xong tắt đèn đọc
ac_auto,fan,win_rr	bật điều hoà rồi tăng gió mở kính sau phải
windows_all,defrost_rear,cam	mở tất cả kính bật sấy kính sau và mở camera
windows_all,ac_auto,drl	mở tất cả kính xong bật điều hoà sau đó bật đèn ban ngày
readl,defrost_rear,win_rf	bật đèn đọc rồi bật sấy kính sau hạ kính phụ
windows_all,trunk,headl	đóng hết kính rồi mở cốp, tắt đèn pha
sunroof,pm25,win_lf	đóng cửa sổ trời rồi tắt lọc bụi sau đó mở kính trước trái
win_lf,trunk,win_rr	hạ kính trước trái xong đóng cốp mở kính sau phải
recirc,win_half_lf,win_lf	chuyển gió ngoài mở nửa kính lái hạ kính trước trái
readl,win_half_lf,fan	bật đèn trần mở nửa kính lái, tăng gió
defrost_rear,headl,win_lr	bật sấy kính sau bật đèn pha rồi mở kính sau trái
defrost,cam,trunk	bật sấy kính và bật camera 360 rồi mở cốp
readl,cam,win_half_lf	tắt đèn đọc xong bật camera 360 mở nửa kính lái
headl,drl,defrost	tắt đèn pha rồi bật đèn ban ngày rồi bật sấy kính trước
win_lf,win_rf,sunroof	hạ kiếng trái, mở kính trước phải mở nóc xe
fan,drl,sunroof	tăng gió sau đó bật đèn ban ngày sau đó đóng cửa sổ trời
temp,win_lr,defrost	chỉnh nhiệt độ 22 độ mở kính sau trái bật sấy kính trước
win_lr,win_half_lf,ac_auto	mở kính sau trái rồi mở nửa kính lái, bật máy lạnh
temp,defrost,trunk	chỉnh nhiệt độ 22 độ bật sấy kính trước, mở cốp
headl,fan,win_rr	tắt đèn pha giảm gió rồi mở kính sau phải
trunk,defrost_rear,pm25	đóng cốp xong bật sấy kính sau và bật lọc không khí
win_rr,trunk,defrost_rear	mở kính sau phải và đóng cốp bật sấy kính sau
cam,win_lf,trunk	bật camera 360 hạ kiếng trái xong mở cốp
recirc,drl,temp	lấy gió trong bật đèn ban ngày chỉnh nhiệt độ 22 độ
temp,ac_auto,trunk	đặt nhiệt độ 24 độ tắt máy lạnh và đóng cốp
sunroof,win_rf,fan	mở nóc xe, hạ kính phụ tăng gió
win_lr,ac_auto,drl	mở kính sau trái xong tắt máy nạnh, bật đèn ban ngày
ac_auto,headl,defrost_rear	bật điều hoà xong bật đèn pha, bật sấy kính sau
win_rr,windows_all,pm25	mở kính sau phải mở tất cả kính, bật lọc không khí
win_half_lf,readl,temp	mở nửa kính lái sau đó bật đèn trần sau đó đặt nhiệt độ 24 độ
trunk,fan,temp	mở cốp sau xong tăng gió đặt nhiệt độ 24 độ
win_lr,win_rf,headl	mở kính sau trái hạ kính phụ sau đó bật đèn pha
headl,win_lf,drl	bật đèn pha sau đó hạ kiếng trái sau đó bật đèn ban ngày
temp,drl,readl	đặt nhiệt độ 24 độ xong bật đèn ban ngày và tắt đèn đọc
win_lf,windows_all,defrost_rear	hạ kính trước trái đóng hết kính, bật sấy kính sau
win_rr,win_rf,ac_auto	mở kính sau phải và hạ kiếng phải xong bật điều hoà
win_lr,recirc,temp	mở kính sau trái sau đó chuyển gió ngoài đặt nhiệt độ 24 độ
defrost,readl,win_half_lf	bật sấy kính, bật đèn trần, mở nửa kính lái
windows_all,sunroof,temp	mở tất cả kính đóng cửa sổ trời và đặt nhiệt độ 24 độ
pm25,headl,readl	bật lọc bụi tắt đèn pha tắt đèn đọc
win_rr,recirc,temp	mở kính sau phải, lấy gió trong rồi chỉnh nhiệt độ 22 độ
win_lf,trunk,sunroof	mở kính trước trái rồi mở cốp xong đóng cửa sổ trời
sunroof,ac_auto,headl	mở cửa sổ trời rồi bật máy lạnh, bật đèn pha
